"","Group.1","x","zooniverse"
"1",2019-12-29,0,8167
"2",2020-01-05,0,6649
"3",2020-01-12,0,9838
"4",2020-01-19,0,8875
"5",2020-01-26,0,11727
"6",2020-02-02,0,10113
"7",2020-02-09,0,10385
"8",2020-02-16,0,12629
"9",2020-02-23,0,11036
"10",2020-03-01,0,18006
"11",2020-03-08,0,20297
"12",2020-03-15,0,16771
"13",2020-03-22,0,17534
"14",2020-03-29,0,34793
"15",2020-04-05,0,31801
"16",2020-04-12,2657813,35155
"17",2020-04-19,2335423,44029
"18",2020-04-26,2249613,32123
"19",2020-05-03,2396335,31862
"20",2020-05-10,2469792,32690
"21",2020-05-17,2782355,26494
"22",2020-05-24,3049135,26119
"23",2020-05-31,3358962,27897
"24",2020-06-07,3518269,27238
"25",2020-06-14,4242295,24534
"26",2020-06-21,4518223,20846
"27",2020-06-28,5306939,18455
"28",2020-07-05,5815804,17281
"29",2020-07-12,6299412,25372
"30",2020-07-19,7070885,24685
"31",2020-07-26,7259666,22491
"32",2020-08-02,7268655,18067
"33",2020-08-09,7398817,14681
"34",2020-08-16,7137743,12287
"35",2020-08-23,7300683,11683
"36",2020-08-30,7745890,17581
"37",2020-09-06,7732156,16699
"38",2020-09-13,2100280,28970
